Textbooks,Author,Description,image_path
thinkpython2, Allen Downey,This textbook teaches python fundamental,/think_python2_medium.jpg
thinkc, Allen Downey,This textbook teaches how to think like a computer scientist in the language C,/thinkc.jpg
