latency
thinkpython2,Iteration,10,"[2.4806, 2.7496, 3.7993, 3.053, 4.8757, 3.0271, 4.9283, 3.4674, 2.3037, 2.5486]"
thinkpython2,Iteration,10,"[2.4203, 4.6953, 4.9725, 2.4306, 3.7103, 3.1486, 4.2316, 3.165, 2.2627, 3.5618]"
thinkpython2,Iteration,10,"[3.5453, 2.9198, 3.3774, 3.0928, 2.2656, 4.5212, 4.5959, 1.9336, 3.4588, 2.5603]"
thinkpython2,Iteration,10,"[5.5632, 3.855, 2.6111, 4.5018, 3.023, 4.3598, 1.4068, 2.376, 3.8274, 2.4976]"
thinkpython2,Iteration,10,"[3.6628, 3.9039, 2.1511, 3.3924, 2.627, 2.0831, 1.6929, 1.401, 1.3839, 3.9211]"
thinkpython2,Strings,10,"[2.3511, 3.9138, 2.3518, 3.5376, 3.033, 2.0921, 2.5804, 5.8919, 1.8424, 2.1824]"
thinkpython2,Strings,10,"[2.4857, 2.1304, 2.2009, 2.3244, 4.6296, 4.2733, 3.2486, 1.7069, 2.0574, 2.4463]"
thinkpython2,Strings,10,"[2.627, 2.183, 3.5322, 3.0249, 2.5146, 3.5334, 2.3321, 2.9685, 2.6887, 2.9534]"
thinkpython2,Strings,10,"[2.3095, 4.8416, 1.9798, 2.709, 3.1185, 3.629, 2.8508, 2.3099, 1.9481, 2.4057]"
thinkpython2,Strings,10,"[2.48, 3.2529, 2.1101, 2.1442, 1.9572, 2.2776, 2.3756, 2.7529, 5.565, 2.0247]"
thinkpython2,Case study: word play,10,"[1.4131, 2.6435, 3.2917, 2.1281, 3.6441, 1.2788, 1.5349, 3.5516, 1.7216, 2.2952]"
thinkpython2,Case study: word play,10,"[2.6974, 2.935, 2.072, 2.7496, 2.6082, 2.5871, 2.542, 1.9053, 2.1211, 1.9057]"
thinkpython2,Case study: word play,10,"[1.5347, 2.444, 3.7201, 2.353, 1.5802, 2.2415, 3.1838, 2.2427, 1.7076, 3.0316]"
thinkpython2,Case study: word play,10,"[2.2769, 1.4858, 1.607, 1.4277, 5.3889, 2.5085, 1.3286, 2.5983, 2.8966, 5.0658]"
thinkpython2,Case study: word play,10,"[2.1587, 3.6595, 2.0647, 2.1591, 4.0621, 1.7522, 2.3952, 2.7627, 3.2383, 1.2163]"
thinkpython2,Lists,10,"[2.147, 3.3012, 2.7713, 2.1966, 2.2661, 2.467, 1.9695, 2.9747, 2.5592, 3.1171]"
thinkpython2,Lists,10,"[4.0975, 2.5202, 4.1027, 2.6756, 1.5744, 1.8387, 2.1531, 2.534, 1.8037, 2.5037]"
thinkpython2,Lists,10,"[1.5279, 3.0924, 3.215, 3.768, 2.5454, 3.4148, 3.769, 2.1258, 2.3721, 1.2801]"
thinkpython2,Lists,10,"[3.6213, 2.1688, 1.9462, 2.9771, 3.8202, 2.1029, 2.7011, 1.9082, 2.5636, 2.0745]"
thinkpython2,Lists,10,"[2.0608, 2.9005, 3.0035, 1.8952, 2.6002, 2.7607, 3.2272, 2.9134, 3.0306, 1.955]"
thinkpython2,Dictionaries,10,"[2.9888, 1.7688, 1.2868, 1.8469, 1.9238, 1.9906, 4.1584, 1.6522, 3.3699, 3.2117]"
thinkpython2,Dictionaries,10,"[1.6482, 2.4382, 1.5805, 1.9791, 2.9503, 3.6026, 1.4323, 2.6997, 2.0195, 1.3889]"
thinkpython2,Dictionaries,10,"[1.8284, 2.6711, 3.8049, 1.5387, 1.7729, 1.6047, 2.893, 1.5799, 1.3991, 2.1313]"
thinkpython2,Dictionaries,10,"[2.7199, 1.6767, 1.6368, 2.1407, 1.4876, 2.9213, 1.6103, 2.3722, 2.3299, 2.4512]"
thinkpython2,Dictionaries,10,"[2.8343, 2.1247, 1.8105, 1.6598, 1.3208, 2.028, 3.8262, 2.6762, 2.3132, 3.0819]"
thinkpython2,Tuples,10,"[3.0175, 2.2314, 3.2843, 1.5498, 1.9495, 2.211, 1.3392, 2.1151, 1.9125, 2.3906]"
thinkpython2,Tuples,10,"[2.9381, 1.7555, 1.7353, 3.1634, 2.8516, 2.3959, 2.2373, 2.1329, 2.9195, 3.9118]"
thinkpython2,Tuples,10,"[2.0443, 2.7677, 1.8207, 3.6115, 2.204, 2.3301, 1.8101, 1.9644, 1.7181, 2.2735]"
thinkpython2,Tuples,10,"[1.5257, 3.5787, 2.8236, 2.1789, 1.5955, 1.9128, 2.1912, 2.0148, 2.987, 2.0294]"
thinkpython2,Tuples,10,"[1.3468, 2.0721, 2.0536, 1.6846, 1.6816, 2.1185, 1.9846, 2.5523, 2.0203, 1.8986]"
thinkpython2,Case study: data structure selection,10,"[4.2297, 2.4564, 2.103, 1.194, 3.1818, 1.6165, 5.3012, 2.5558, 1.8383, 2.7071]"
thinkpython2,Case study: data structure selection,10,"[1.844, 1.6795, 2.7025, 2.1629, 2.7001, 2.1301, 2.5611, 2.0996, 1.7606, 2.1076]"
thinkpython2,Case study: data structure selection,10,"[1.1725, 1.9114, 1.9476, 1.8443, 1.508, 1.816, 2.7117, 1.7618, 1.8831, 2.2732]"
thinkpython2,Case study: data structure selection,10,"[3.4591, 1.5782, 1.6809, 2.4447, 1.5467, 1.6429, 1.9738, 1.6598, 1.9112, 1.404]"
thinkpython2,Case study: data structure selection,10,"[1.6995, 2.8581, 3.4802, 3.0589, 2.0498, 2.4487, 2.2659, 2.399, 2.1712, 4.1267]"
thinkpython2,Classes and object,10,"[2.5368, 3.8883, 4.1825, 2.3687, 4.2945, 1.5918, 5.15, 2.3497, 4.2117, 2.4149]"
thinkpython2,Classes and object,10,"[3.1274, 2.0817, 1.8527, 2.5586, 2.3045, 3.8603, 2.8145, 2.1568, 4.0592, 3.2273]"
thinkpython2,Classes and object,10,"[2.2732, 2.6474, 4.5674, 3.0147, 2.5942, 2.7487, 2.5565, 1.4092, 2.3064, 2.252]"
thinkpython2,Classes and object,10,"[3.5524, 3.2521, 2.7872, 2.9165, 2.5455, 2.8171, 3.1327, 1.6312, 1.8678, 3.0108]"
thinkpython2,Classes and object,10,"[2.6778, 3.1446, 1.9601, 2.5603, 2.8712, 2.0926, 1.9626, 2.6679, 2.4462, 2.2695]"
thinkpython2,Classes and functions,10,"[7.8669, 3.0357, 3.7851, 2.5317, 2.363, 2.6631, 2.4756, 2.6176, 1.6072, 8.9195]"
thinkpython2,Classes and functions,10,"[2.6546, 2.3652, 2.2667, 3.1396, 1.6159, 2.9836, 2.3616, 3.3052, 1.6693, 5.2323]"
thinkpython2,Classes and functions,10,"[3.3344, 2.1397, 1.3404, 3.145, 5.5152, 2.9821, 3.5806, 4.8527, 3.1705, 2.637]"
thinkpython2,Classes and functions,10,"[3.2898, 3.5253, 3.8761, 4.2764, 2.536, 2.4304, 5.2667, 3.0358, 4.1919, 1.6494]"
thinkpython2,Classes and functions,10,"[1.8538, 1.8793, 7.873, 5.0756, 2.1133, 2.2329, 1.5679, 2.1345, 2.2056, 3.1752]"
thinkpython2,Classes and methods,10,"[2.4825, 3.0222, 2.7051, 2.3352, 1.6238, 2.2887, 2.2303, 1.6909, 4.1187, 2.583]"
thinkpython2,Classes and methods,10,"[2.2855, 3.2421, 3.6787, 2.0472, 1.9225, 1.9911, 2.4263, 5.4051, 2.142, 3.3891]"
thinkpython2,Classes and methods,10,"[3.1815, 2.1773, 3.7821, 1.7127, 2.11, 2.1892, 2.1673, 1.9884, 3.1056, 3.1452]"
thinkpython2,Classes and methods,10,"[2.0949, 2.0731, 4.1177, 4.1189, 4.6036, 2.7579, 1.8949, 1.6885, 2.8079, 4.3527]"
thinkpython2,Classes and methods,10,"[1.9577, 2.0701, 3.2758, 2.9158, 2.7596, 2.11, 1.8922, 4.1018, 3.2435, 1.737]"
thinkpython2,Inheritance,10,"[2.7237, 2.5844, 2.5056, 2.023, 2.5103, 3.3747, 2.9176, 3.5094, 5.4886, 1.6852]"
thinkpython2,Inheritance,10,"[2.43, 3.4412, 2.6606, 3.3979, 2.3761, 3.5256, 3.3898, 2.5737, 4.931, 3.9585]"
thinkpython2,Inheritance,10,"[2.6063, 2.82, 2.4817, 4.2511, 2.848, 1.966, 3.7762, 2.7632, 2.7332, 2.3131]"
thinkpython2,Inheritance,10,"[3.1103, 2.1871, 3.2277, 3.1069, 3.0845, 4.6498, 2.3193, 1.512, 2.9714, 2.1693]"
thinkpython2,Inheritance,10,"[2.4208, 2.2638, 2.5375, 3.1728, 3.1577, 2.7146, 4.6124, 2.8371, 2.8388, 2.2101]"
thinkpython2,The Goodies,10,"[2.8513, 4.0462, 4.6535, 2.5135, 4.0406, 3.8916, 2.1846, 2.1398, 3.5241, 2.3229]"
thinkpython2,The Goodies,10,"[4.6009, 6.054, 4.1065, 4.8057, 4.4036, 4.582, 3.3537, 2.8982, 4.1613, 4.8973]"
thinkpython2,The Goodies,10,"[5.2523, 2.9959, 3.4303, 4.1516, 2.9685, 3.542, 3.6048, 3.9838, 2.0987, 2.7923]"
thinkpython2,The Goodies,10,"[5.0737, 3.1072, 3.2547, 3.2767, 4.8671, 3.5946, 2.6433, 3.4044, 3.288, 5.0293]"
thinkpython2,The Goodies,10,"[5.7634, 2.8003, 2.2178, 1.9871, 3.4193, 7.3413, 2.6066, 4.0272, 3.3634, 4.1829]"
thinkpython2,The Goodies,10,"[2.8655, 3.0745, 3.5785, 3.3707, 5.8925, 4.9576, 4.7128, 2.8505, 2.6735, 2.7565]"
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,0,[]
thinkpython2,The Goodies,10,[]
thinkpython2,The Goodies,10,[]
thinkpython2,The Goodies,10,[]
thinkpython2,The Goodies,10,[]
thinkpython2,The Goodies,10,[]
thinkpython2,The way of the program,0,[]
thinkpython2,The way of the program,0,[]
thinkpython2,The way of the program,0,[]
thinkpython2,The way of the program,0,[]
thinkpython2,The way of the program,0,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,The Way of the Program,10,[]
thinkpython2,Files,10,[]
thinkpython2,Files,10,[]
thinkpython2,Files,10,[]
thinkpython2,Files,10,[]
thinkpython2,Files,10,[]
